Pontuação máxima,Geração
319,0
441,1
323,2
438,3
129,4
498,5
323,6
498,7
439,8
257,9
320,10
261,11
494,12
437,13
323,14
324,15
255,16
441,17
317,18
318,19
317,20
436,21
319,22
255,23
130,24
256,25
323,26
438,27
324,28
255,29
258,30
130,31
383,32
193,33
258,34
192,35
257,36
497,37
435,38
382,39
381,40
259,41
323,42
259,43
323,44
258,45
502,46
438,47
385,48
385,49
434,50
435,51
381,52
321,53
550,54
322,55
255,56
383,57
445,58
438,59
256,60
549,61
436,62
436,63
257,64
322,65
321,66
321,67
385,68
494,69
317,70
376,71
322,72
320,73
322,74
381,75
498,76
438,77
319,78
320,79
551,80
1017,81
1455,82
1453,83
1531,84
1497,85
441,86
262,87
660,88
321,89
320,90
317,91
915,92
1010,93
258,94
660,95
256,96
324,97
325,98
324,99
