Pontuação máxima,Geração
609,0
257,1
437,2
442,3
1012,4
322,5
322,6
449,7
325,8
550,9
320,10
255,11
322,12
321,13
442,14
440,15
319,16
321,17
323,18
435,19
1012,20
321,21
318,22
316,23
495,24
383,25
716,26
321,27
324,28
444,29
325,30
319,31
323,32
765,33
656,34
602,35
494,36
381,37
319,38
195,39
499,40
322,41
323,42
322,43
376,44
551,45
322,46
255,47
326,48
549,49
383,50
607,51
256,52
382,53
316,54
440,55
321,56
322,57
438,58
440,59
321,60
323,61
321,62
321,63
320,64
493,65
378,66
382,67
615,68
771,69
386,70
322,71
715,72
815,73
715,74
437,75
498,76
323,77
543,78
257,79
322,80
440,81
497,82
439,83
384,84
390,85
498,86
437,87
766,88
440,89
322,90
314,91
257,92
383,93
379,94
494,95
258,96
325,97
438,98
383,99
322,100
605,101
321,102
552,103
320,104
662,105
315,106
322,107
320,108
493,109
549,110
324,111
322,112
434,113
323,114
324,115
444,116
446,117
325,118
315,119
663,120
317,121
324,122
489,123
379,124
668,125
438,126
325,127
322,128
555,129
660,130
326,131
435,132
1011,133
608,134
437,135
551,136
440,137
324,138
500,139
443,140
605,141
323,142
438,143
434,144
612,145
325,146
441,147
548,148
1322,149
326,150
555,151
437,152
324,153
325,154
257,155
603,156
436,157
612,158
444,159
320,160
435,161
436,162
608,163
606,164
663,165
322,166
437,167
551,168
609,169
716,170
324,171
608,172
322,173
321,174
325,175
322,176
383,177
380,178
491,179
322,180
321,181
255,182
439,183
325,184
324,185
325,186
260,187
326,188
325,189
322,190
442,191
494,192
323,193
499,194
383,195
387,196
435,197
323,198
553,199
321,200
502,201
325,202
321,203
259,204
497,205
323,206
321,207
320,208
323,209
319,210
322,211
321,212
552,213
257,214
324,215
963,216
385,217
759,218
867,219
914,220
258,221
714,222
607,223
318,224
257,225
766,226
324,227
255,228
433,229
325,230
322,231
325,232
325,233
499,234
435,235
322,236
323,237
321,238
661,239
438,240
385,241
322,242
322,243
320,244
435,245
499,246
322,247
385,248
389,249
438,250
555,251
259,252
383,253
322,254
324,255
438,256
439,257
384,258
495,259
323,260
492,261
379,262
821,263
497,264
439,265
608,266
446,267
549,268
321,269
437,270
436,271
382,272
436,273
322,274
436,275
500,276
322,277
717,278
320,279
256,280
437,281
323,282
325,283
439,284
322,285
378,286
434,287
440,288
316,289
388,290
438,291
255,292
323,293
323,294
385,295
259,296
614,297
439,298
607,299
322,300
391,301
321,302
378,303
322,304
322,305
321,306
324,307
436,308
663,309
559,310
608,311
318,312
256,313
439,314
320,315
555,316
256,317
549,318
437,319
438,320
320,321
551,322
440,323
387,324
325,325
436,326
499,327
385,328
439,329
383,330
325,331
662,332
325,333
321,334
315,335
321,336
323,337
438,338
494,339
376,340
498,341
379,342
386,343
320,344
438,345
378,346
381,347
440,348
493,349
320,350
325,351
436,352
386,353
439,354
553,355
501,356
556,357
660,358
439,359
319,360
384,361
321,362
497,363
608,364
662,365
323,366
550,367
614,368
327,369
611,370
322,371
436,372
258,373
387,374
435,375
503,376
325,377
256,378
258,379
386,380
435,381
321,382
382,383
325,384
610,385
387,386
324,387
609,388
437,389
550,390
436,391
321,392
322,393
559,394
323,395
551,396
550,397
497,398
323,399
660,400
1013,401
915,402
257,403
383,404
321,405
380,406
320,407
439,408
555,409
384,410
321,411
325,412
317,413
256,414
496,415
320,416
323,417
257,418
380,419
321,420
257,421
552,422
321,423
552,424
661,425
438,426
445,427
322,428
322,429
433,430
446,431
382,432
320,433
321,434
436,435
497,436
440,437
320,438
438,439
437,440
440,441
321,442
1325,443
603,444
259,445
716,446
439,447
323,448
435,449
323,450
324,451
254,452
321,453
320,454
323,455
659,456
321,457
258,458
385,459
325,460
386,461
322,462
436,463
323,464
321,465
439,466
324,467
324,468
437,469
437,470
441,471
607,472
449,473
434,474
386,475
258,476
437,477
256,478
375,479
439,480
435,481
322,482
439,483
389,484
444,485
435,486
324,487
389,488
384,489
439,490
323,491
1328,492
553,493
322,494
496,495
325,496
552,497
326,498
435,499
262,500
498,501
607,502
385,503
495,504
256,505
438,506
323,507
323,508
323,509
553,510
322,511
767,512
320,513
605,514
491,515
443,516
438,517
613,518
504,519
557,520
435,521
380,522
385,523
439,524
557,525
375,526
384,527
446,528
256,529
442,530
434,531
323,532
326,533
435,534
325,535
439,536
261,537
383,538
324,539
436,540
555,541
551,542
437,543
382,544
605,545
314,546
377,547
554,548
1009,549
325,550
495,551
714,552
437,553
324,554
437,555
256,556
558,557
611,558
325,559
323,560
257,561
381,562
383,563
321,564
326,565
435,566
386,567
326,568
497,569
497,570
319,571
324,572
322,573
323,574
498,575
321,576
259,577
258,578
659,579
387,580
322,581
257,582
383,583
322,584
437,585
324,586
436,587
324,588
324,589
322,590
321,591
324,592
500,593
443,594
325,595
377,596
667,597
551,598
256,599
438,600
502,601
321,602
257,603
1369,604
381,605
764,606
553,607
487,608
1407,609
321,610
860,611
609,612
323,613
435,614
438,615
436,616
556,617
552,618
256,619
324,620
323,621
495,622
438,623
324,624
386,625
435,626
608,627
318,628
862,629
607,630
554,631
499,632
561,633
384,634
559,635
